Area,Element,mean,std,min,max,Cluster
Cameroon,Standard Deviation,0.31185393258426963,0.08291391353821549,0.212,0.489,0
Cameroon,Temperature change,0.3749677419354839,0.5845249548660435,-1.131,2.002,3
Canada,Standard Deviation,1.1795555555555555,0.6060490183957173,0.46,2.309,2
Canada,Temperature change,0.5307623762376238,1.6040945554954973,-6.319,4.942,9
Caribbean,Standard Deviation,0.3885154639175258,0.13757968247241165,0.188,0.59,0
Caribbean,Temperature change,0.519242105263158,0.5954536392584726,-1.241,1.764,3
Cayman Islands,Standard Deviation,0.5876279069767442,0.2209624959666301,0.265,1.036,0
Cayman Islands,Temperature change,0.5452676056338028,0.5283248718556868,-0.763,1.786,3
Central African Republic,Standard Deviation,0.3820476190476191,0.14425787413200103,0.225,0.665,0
Central African Republic,Temperature change,0.41440869565217386,0.6769684085978547,-0.954,2.18,3
Central America,Standard Deviation,0.4081588785046729,0.10175944159362985,0.23,0.643,0
Central America,Temperature change,0.28449107142857144,0.5593129955101968,-1.532,1.939,3
Central Asia,Temperature change,1.4291428571428573,1.7161986943047516,-3.209,6.267,5
Chad,Standard Deviation,0.6577345132743363,0.2704875564110085,0.28,1.206,4
Chad,Temperature change,0.48,0.8957916682305586,-1.859,3.225,8
Channel Islands,Standard Deviation,1.0844883720930234,0.37542426961524783,0.485,1.894,4
Channel Islands,Temperature change,0.5178235294117647,1.2373181667532078,-4.283,3.252,7
Chile,Standard Deviation,0.48435185185185187,0.11781835494902199,0.261,0.661,0
Chile,Temperature change,0.1602095238095238,0.5206869296943978,-1.322,1.586,3
China,Standard Deviation,0.7088727272727272,0.39361845515702154,0.251,1.553,4
China,Temperature change,0.5983404255319149,1.0033210611172962,-1.908,3.593,8
"China, Hong Kong SAR",Standard Deviation,0.9265686274509805,0.45543784851228974,0.341,2.049,4
"China, Hong Kong SAR",Temperature change,0.32146788990825687,0.8977996102489122,-1.757,2.774,8
"China, Macao SAR",Standard Deviation,0.8437415730337079,0.40032261217700993,0.341,2.049,4
"China, Macao SAR",Temperature change,0.4258425925925926,1.0838196746419029,-3.265,3.939,7
"China, Taiwan Province of",Standard Deviation,0.7404767441860465,0.28169235311904645,0.331,1.353,4
"China, Taiwan Province of",Temperature change,0.31824770642201833,0.7100566768714248,-1.985,1.891,3
"China, mainland",Standard Deviation,0.663563829787234,0.36477185559557274,0.283,1.501,4
"China, mainland",Temperature change,0.46609375,0.8053850217279213,-1.588,2.728,8
Christmas Island,Temperature change,0.43858823529411767,0.5282006695586559,-0.675,1.991,3
Cocos (Keeling) Islands,Standard Deviation,0.4239158878504673,0.07373769439969986,0.295,0.535,0
Cocos (Keeling) Islands,Temperature change,0.2110108695652174,0.5420492555893327,-1.068,1.532,3
Colombia,Standard Deviation,0.3607065217391305,0.08596556147200649,0.258,0.573,0
Colombia,Temperature change,0.2998990825688073,0.4555057414150929,-0.735,1.534,3
Comoros,Standard Deviation,0.3607291666666667,0.05194419660947225,0.256,0.452,0
Comoros,Temperature change,0.41528571428571426,0.5791658615958776,-0.763,1.571,3
Congo,Standard Deviation,0.28158878504672896,0.06929645819463849,0.187,0.397,0
Congo,Temperature change,0.3664494382022472,0.568077179680318,-0.979,1.709,3
Cook Islands,Standard Deviation,0.3542777777777778,0.059497904368302976,0.227,0.448,0
Cook Islands,Temperature change,0.3581590909090909,0.5287228352058662,-0.908,1.495,3
Costa Rica,Temperature change,0.3290632911392405,0.6096234512821274,-0.75,1.656,3
Croatia,Temperature change,1.1663214285714285,1.5978711076377146,-3.421,3.886,5
Cuba,Standard Deviation,0.527453781512605,0.27209378828890873,0.209,1.081,0
Cuba,Temperature change,0.46738461538461534,0.6702049975394025,-1.397,2.132,3
Cyprus,Standard Deviation,0.8833826086956522,0.29591951794093985,0.438,1.447,4
Cyprus,Temperature change,0.19941666666666666,1.124954554637653,-2.442,2.7,8
Czechia,Temperature change,1.4993529411764706,1.4075221055878167,-1.176,4.98,5
Czechoslovakia,Standard Deviation,1.5181607142857143,0.6815830977627337,0.604,3.13,2
Czechoslovakia,Temperature change,0.2662075471698113,1.6864849922761587,-4.49,4.588,7
Côte d'Ivoire,Standard Deviation,0.3537924528301887,0.07711373381245233,0.235,0.594,0
Côte d'Ivoire,Temperature change,0.5455353535353535,0.532032765469658,-0.53,1.851,3
Democratic People's Republic of Korea,Standard Deviation,1.1805585585585585,0.5714656863107622,0.497,2.428,2
Democratic People's Republic of Korea,Temperature change,0.4780693069306931,1.1726698107943747,-2.606,3.446,8
Democratic Republic of the Congo,Standard Deviation,0.27876404494382023,0.0624121241266307,0.191,0.423,0
Democratic Republic of the Congo,Temperature change,0.34983333333333333,0.5284781249153613,-1.085,1.49,3
Denmark,Standard Deviation,1.2832735849056602,0.5017930237898578,0.692,2.55,2
Denmark,Temperature change,0.6403963963963965,1.5117358191483015,-3.809,4.937,9
Djibouti,Standard Deviation,0.48153488372093023,0.11690435484007665,0.293,0.762,0
Djibouti,Temperature change,0.63101,0.7669277486283578,-1.327,2.685,8
